title,company,description,source
백엔드 개발자,네이버,"자격요건: Java, Spring Boot 기반 서버 개발 경험 3년 이상. AWS 또는 GCP 클라우드 환경 경험. MySQL 또는 PostgreSQL 사용 경험. 우대사항: Kafka, Redis 사용 경험. Kubernetes 운영 경험. MSA 아키텍처 설계 경험.",wanted
서버 개발자 (Backend),쿠팡,"자격요건: Java/Kotlin 기반 백엔드 개발 경험. Spring Boot, Spring Cloud 경험. AWS 인프라 경험 (EC2, S3, SQS). Docker 기반 개발/배포 경험. 우대사항: 대용량 트래픽 처리 경험. Kafka 또는 RabbitMQ 경험. CI/CD 파이프라인 구축 경험.",wanted
Backend Engineer,카카오,"Requirements: Experience with Java and Spring Boot. Familiar with MySQL, Redis. RESTful API design and implementation. Docker & Kubernetes experience preferred. 우대: Kafka, Elasticsearch 경험. MSA 경험.",wanted
백엔드 엔지니어,토스,"자격요건: Kotlin 또는 Java 기반 서버 개발 경험. Spring Boot, Spring Data JPA 활용 경험. PostgreSQL 사용 경험. 우대사항: Kotlin Coroutines 경험. Kafka 이벤트 드리븐 아키텍처 경험. Docker, Kubernetes 운영 경험. TDD 실천 경험.",wanted
서버 개발자,배달의민족,"자격요건: Java, Spring Boot 기반 서버 개발 경험. MySQL, Redis 활용 경험. 우대사항: MSA 설계 및 운영 경험. Kafka, RabbitMQ 등 메시지 큐 경험. AWS 인프라 운영 경험. Event Sourcing, CQRS 패턴 경험.",wanted
백엔드 개발자,당근,"자격요건: Kotlin 또는 Java 사용 경험. Spring Boot 기반 API 개발 경험. PostgreSQL 또는 MySQL 사용 경험. Docker 환경 경험. 우대사항: gRPC 또는 GraphQL 경험. Kubernetes 운영 경험. AWS 경험.",wanted
Backend Developer,라인,"Requirements: Java/Kotlin backend development experience. Spring Boot, Spring Cloud experience. MySQL, Redis experience. REST API design. Preferred: Kafka experience. Kubernetes experience. CI/CD pipeline experience. Prometheus, Grafana monitoring.",wanted
백엔드 개발자,야놀자,"자격요건: Java, Spring Boot 기반 서버 개발 경험. MySQL, Redis 활용 경험. RESTful API 설계 경험. 우대사항: AWS 클라우드 경험. Docker, Kubernetes 경험. Kafka 경험. JPA, QueryDSL 활용 경험.",wanted
서버 개발자,뱅크샐러드,"자격요건: Kotlin 또는 Java 기반 서버 개발. Spring Boot 경험. PostgreSQL 또는 MySQL 경험. 우대사항: AWS 인프라 경험. Docker 경험. 금융 도메인 경험. Event-Driven Architecture 경험.",wanted
백엔드 엔지니어,무신사,"자격요건: Java, Spring Boot 기반 백엔드 개발 경험. MySQL 사용 경험. REST API 설계 및 구현. 우대사항: Redis 캐시 활용 경험. Docker, Kubernetes 경험. Kafka 경험. Elasticsearch 검색 엔진 경험.",wanted
Backend Engineer,컬리,"자격요건: Java 또는 Kotlin 기반 백엔드 개발 경험. Spring Boot, JPA 경험. MySQL, Redis 경험. 우대사항: AWS 경험. Docker 경험. Kafka 경험. MSA 아키텍처 경험. CI/CD 구축 경험.",wanted
백엔드 개발자,두나무,"자격요건: Java, Spring Boot 기반 서버 개발 경험. MySQL, PostgreSQL 경험. 우대사항: Kotlin 경험. Redis 경험. AWS 또는 GCP 경험. Docker, Kubernetes 경험. 블록체인 관련 경험.",wanted
서버 개발자,센드버드,"Requirements: Java/Kotlin backend experience. Spring Boot, Spring Data JPA. MySQL or PostgreSQL. Preferred: AWS infrastructure experience. Docker, Kubernetes. Kafka or RabbitMQ. gRPC experience. Global scale service experience.",wanted
백엔드 개발자,채널톡,"자격요건: Kotlin 또는 Java 서버 개발 경험. Spring Boot 기반 API 개발. 우대사항: PostgreSQL 경험. Redis 경험. Docker 경험. Kubernetes 경험. GitHub Actions CI/CD 경험.",wanted
Platform Engineer (Backend),오늘의집,"자격요건: Java, Spring Boot 기반 플랫폼 개발 경험. MySQL, Redis 활용 경험. Docker 환경 개발 경험. 우대사항: Kubernetes 운영 경험. Kafka 경험. Terraform IaC 경험. Prometheus, Grafana 모니터링 경험.",wanted
백엔드 개발자,카카오페이,"자격요건: Java, Spring Boot 기반 서버 개발 경험. MySQL, Redis 경험. 금융 도메인 경험 우대. 우대사항: Kafka 경험. MSA 아키텍처 경험. Docker, Kubernetes 경험. Spring Security 경험.",wanted
서버 개발자 (Junior),네이버클라우드,"자격요건: Java 또는 Kotlin 기반 개발 경험. Spring Boot 경험. 우대사항: 클라우드 서비스 개발 경험. Docker 경험. Linux 운영 경험. REST API 설계 경험. PostgreSQL 또는 MySQL 경험.",wanted
백엔드 개발자,리디,"자격요건: Python 또는 Java 기반 서버 개발 경험. Django 또는 Spring Boot 경험. MySQL 경험. 우대사항: AWS 경험. Docker 경험. Elasticsearch 경험. Redis 경험.",wanted
Backend Engineer,직방,"자격요건: Node.js 또는 Java 기반 백엔드 개발 경험. TypeScript 경험 우대. PostgreSQL 또는 MongoDB 경험. 우대사항: AWS Lambda 경험. Docker 경험. NestJS 경험. GraphQL 경험.",wanted
서버 개발자,그린랩스,"자격요건: Java, Spring Boot 기반 서버 개발 경험. MySQL 경험. REST API 설계 경험. 우대사항: AWS 경험. Docker 경험. Kafka 경험. CI/CD 경험. GitHub Copilot 등 AI 코딩 도구 활용 경험 우대.",wanted
